B,P,C,X,N,Time
5,1,1,0,2,10.373847
5,1,5,0,2,10.367302
5,5,1,0,2,2.129787
5,5,5,0,2,2.133673
10,1,1,0,2,10.363150
10,1,5,0,2,10.363155
10,1,10,0,2,10.364621
10,5,1,0,2,2.129021
10,5,5,0,2,2.125859
10,5,10,0,2,2.120493
10,10,1,0,2,1.079301
10,10,5,0,2,1.099096
10,10,10,0,2,1.097129
5,1,1,200,2,10.572408
5,1,5,200,2,10.545434
5,5,1,200,2,10.281407
5,5,5,200,2,10.293522
10,1,1,200,2,10.578468
10,1,5,200,2,10.608401
10,1,10,200,2,10.574434
10,5,1,200,2,10.273813
10,5,5,200,2,10.295690
10,5,10,200,2,10.299092
10,10,1,200,2,10.298417
10,10,5,200,2,10.296127
10,10,10,200,2,10.266362
5,1,1,400,2,20.290295
5,1,5,400,2,20.296084
5,5,1,400,2,20.276116
5,5,5,400,2,20.288153
10,1,1,400,2,20.292609
10,1,5,400,2,20.293753
10,1,10,400,2,20.297272
10,5,1,400,2,20.295070
10,5,5,400,2,20.295599
10,5,10,400,2,20.300000
10,10,1,400,2,20.270825
10,10,5,400,2,20.295696
10,10,10,400,2,20.297869
